date ,Region,price
01/07/1993,Northern Ireland,1.4733
01/07/1993,Scotland,1.3841
01/07/1993,South East,1.5181
01/07/1993,South West,1.4759
01/07/1993,Wales,1.2904
01/07/1993,West Midlands,1.3131
01/07/1993,Yorkshire & Humber,1.2605
01/08/1993,East Anglia,1.4566
01/08/1993,East Midlands,1.3762
01/08/1993,London,1.5246
01/08/1993,North,1.3186
01/08/1993,North West,1.2581
01/08/1993,Northern Ireland,1.4737
01/08/1993,Scotland,1.3874
01/08/1993,South East,1.5240
01/08/1993,South West,1.4837
01/08/1993,Wales,1.3114
01/08/1993,West Midlands,1.3211
01/08/1993,Yorkshire & Humber,1.2722
01/09/1993,East Anglia,1.4630
01/09/1993,East Midlands,1.3840
01/09/1993,London,1.5246
01/09/1993,North,1.3286
01/09/1993,North West,1.2603
01/09/1993,Northern Ireland,1.4779
01/09/1993,Scotland,1.3927
01/09/1993,South East,1.5266
01/09/1993,South West,1.4742
01/09/1993,Wales,1.3045
01/09/1993,West Midlands,1.3227
01/09/1993,Yorkshire & Humber,1.2722
01/10/1993,East Anglia,1.4653
01/10/1993,East Midlands,1.3904
01/10/1993,London,1.5309
01/10/1993,North,1.3249
01/10/1993,North West,1.2635
01/10/1993,Northern Ireland,1.5163
01/10/1993,Scotland,1.3901
01/10/1993,South East,1.5291
01/10/1993,South West,1.4767
01/10/1993,Wales,1.3204
01/10/1993,West Midlands,1.3248
01/10/1993,Yorkshire & Humber,1.2776
01/11/1993,East Anglia,1.4621
01/11/1993,East Midlands,1.3898
01/11/1993,London,1.5399
01/11/1993,North,1.3155
01/11/1993,North West,1.2665
01/11/1993,Northern Ireland,1.5225
01/11/1993,Scotland,1.3849
01/11/1993,South East,1.5292
01/11/1993,South West,1.4774
01/11/1993,Wales,1.3217
01/11/1993,West Midlands,1.3233
01/11/1993,Yorkshire & Humber,1.2782
01/12/1993,East Anglia,1.4642
01/12/1993,East Midlands,1.3923
01/12/1993,London,1.5363
01/12/1993,North,1.3136
01/12/1993,North West,1.2669
01/12/1993,Northern Ireland,1.5267
01/12/1993,Scotland,1.3961
01/12/1993,South East,1.5337
01/12/1993,South West,1.4725
01/12/1993,Wales,1.3249
01/12/1993,West Midlands,1.3245
01/12/1993,Yorkshire & Humber,1.2796
01/01/1994,East Anglia,1.4686
