Date,Region,Price
01/01/2012,East,2.9296
01/01/2012,East Midlands (England),2.6884
01/01/2012,London,2.9272
01/01/2012,North,2.4875
01/01/2012,North West (England),2.3267
01/01/2012,Northern Ireland,2.8833
01/01/2012,Scotland,2.7568
01/01/2012,South East (England),2.9662
01/01/2012,South West (England),2.8475
01/01/2012,Wales,2.5092
01/01/2012,West Midlands (England),2.6263
01/01/2012,Yorkshire and The Humber,2.6506
01/02/2012,East,2.9390
01/02/2012,East Midlands (England),2.7637
01/02/2012,London,2.9123
01/02/2012,North,2.5568
01/02/2012,North West (England),2.3591
01/02/2012,Northern Ireland,2.8409
01/02/2012,Scotland,2.6797
01/02/2012,South East (England),2.9769
01/02/2012,South West (England),2.8955
01/02/2012,Wales,2.6013
01/02/2012,West Midlands (England),2.5834
01/02/2012,Yorkshire and The Humber,2.6522
01/03/2012,East,2.9694
01/03/2012,East Midlands (England),2.7669
01/03/2012,London,2.9126
01/03/2012,North,2.5859
01/03/2012,North West (England),2.3828
01/03/2012,Northern Ireland,2.8625
01/03/2012,Scotland,2.7236
01/03/2012,South East (England),2.9797
01/03/2012,South West (England),2.9089
01/03/2012,Wales,2.6242
01/03/2012,West Midlands (England),2.6287
01/03/2012,Yorkshire and The Humber,2.7076
01/04/2012,East,3.0046
01/04/2012,East Midlands (England),2.7956
01/04/2012,London,2.9319
01/04/2012,North,2.6275
01/04/2012,North West (England),2.3709
01/04/2012,Northern Ireland,2.8692
01/04/2012,Scotland,2.7340
01/04/2012,South East (England),3.0104
01/04/2012,South West (England),2.9484
01/04/2012,Wales,2.6773
01/04/2012,West Midlands (England),2.6582
01/04/2012,Yorkshire and The Humber,2.7215
01/05/2012,East,3.0047
01/05/2012,East Midlands (England),2.7989
01/05/2012,London,2.9836
01/05/2012,North,2.5950
01/05/2012,North West (England),2.3735
01/05/2012,Northern Ireland,2.9362
01/05/2012,Scotland,2.7141
01/05/2012,South East (England),3.0285
01/05/2012,South West (England),2.9507
01/05/2012,Wales,2.6577
01/05/2012,West Midlands (England),2.6333
01/05/2012,Yorkshire and The Humber,2.7627
01/06/2012,East,2.9884
01/06/2012,East Midlands (England),2.8106
01/06/2012,London,3.0116
01/06/2012,North,2.6257
01/06/2012,North West (England),2.3975
01/06/2012,Northern Ireland,2.9246
01/06/2012,Scotland,2.7167
01/06/2012,South East (England),3.0228
01/06/2012,South West (England),2.9929
01/06/2012,Wales,2.6617
01/06/2012,West Midlands (England),2.6344
01/06/2012,Yorkshire and The Humber,2.7307
01/07/2012,East,2.9867
01/07/2012,East Midlands (England),2.8260
01/07/2012,London,2.9740
01/07/2012,North,2.6245
01/07/2012,North West (England),2.3939
